TSegundos;TMilisegundos;DuraciónMiliseg;ARMA;GÉNERO;MANO;PUÑO;PERÍODO; PISTA;MARCADOR;EFICACIA;Preparación;PRESIÓN;ACCIÓN 1;TIPO 1;ACCIÓN 2;TIPO 2;ACCIÓN 3;TIPO 3;ACCIÓN 4;TIPO 4;ACCIÓN n;TIPO n;Asalto;Tirador_I;Tirador_D;CAMPEONATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:00.8;60756;6094;ESP;FEM;DD;2FRA;1PER;3M_I;Empate;Toca_D;Prep_D;PRES_D;1_OF_D;1_COM_SH;2_COF_I;2_SIM_SH;;;;;;;50;S1;S6;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:18.1;78078;7441;ESP;FEM;DD;2FRA;1PER;CENT;Pierde_I;Doble;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;50;S1;S6;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:31.0;90965;18654;ESP;FEM;DD;2FRA;1PER;CENT;Pierde_I;Toca_D;NoPrep;NPRES;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;50;S1;S6;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:59.2;119175;12335;ESP;FEM;DD;2FRA;1PER;CENT;Pierde_I;NO;Prep_I;NPRES;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;3_DEF_D;3_DIST_SR;;;;;50;S1;S6;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:11.5;131510;1970;ESP;FEM;DD;2FRA;1PER;3M_D;Pierde_I;NO;Prep_I;PRES_I;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;50;S1;S6;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:13.5;133480;1312;ESP;FEM;DD;2FRA;1PER;3M_D;Pierde_I;NO;Prep_I;PRES_I;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;3_DEF_D;3_PAR_SR;;;;;50;S1;S6;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:14.8;134792;8851;ESP;FEM;DD;2FRA;1PER;3M_D;Pierde_I;Doble;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;50;S1;S6;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:40.1;160063;9935;ESP;FEM;DD;2FRA;1PER;CENT;Pierde_I;NO;NoPrep;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;50;S1;S6;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:50.0;169998;16325;ESP;FEM;DD;2FRA;1PER;3M_I;Pierde_I;Toca_D;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;50;S1;S6;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:20.1;200103;5124;ESP;FEM;DD;2FRA;1PER;3M_D;Pierde_I;NO;Prep_D;PRES_I;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;50;S1;S6;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
