TSegundos;TMilisegundos;DuraciónMiliseg;ARMA;GÉNERO;MANO;PUÑO;PERÍODO; PISTA;MARCADOR;EFICACIA;Preparación;PRESIÓN;ACCIÓN 1;TIPO 1;ACCIÓN 2;TIPO 2;ACCIÓN 3;TIPO 3;ACCIÓN 4;TIPO 4;ACCIÓN n;TIPO n;Asalto;Tirador_I;Tirador_D;CAMPEONATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:55.3;115258;2712;ESP;FEM;ZD;ANFR;2PER;CENT;Empate;NO;NoPrep;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;55;S1;S11;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:58.0;117970;3374;ESP;FEM;ZD;ANFR;2PER;CENT;Empate;NO;Prep_I;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;55;S1;S11;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:01.3;121344;9097;ESP;FEM;ZD;ANFR;2PER;CENT;Empate;Toca_I;Prep_D;PRES_I;1_DEF_I;1_PAR_R;2_COF_D;2_SIM_SH;;;;;;;55;S1;S11;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:31.2;151163;8370;ESP;FEM;ZD;ANFR;2PER;CENT;Gana_I;NO;Prep_I;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;55;S1;S11;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:39.5;159533;2854;ESP;FEM;ZD;ANFR;2PER;CENT;Gana_I;NO;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_DEF_I;3_DIST_SR;;;;;55;S1;S11;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:42.4;162387;17889;ESP;FEM;ZD;ANFR;2PER;CENT;Gana_I;NO;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;55;S1;S11;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:00.3;180276;2141;ESP;FEM;ZD;ANFR;2PER;3M_I;Gana_I;NO;Prep_I;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;55;S1;S11;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:02.4;182417;8573;ESP;FEM;ZD;ANFR;2PER;3M_I;Gana_I;NO;Prep_I;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;55;S1;S11;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:11.0;190990;10757;ESP;FEM;ZD;ANFR;2PER;3M_I;Gana_I;Toca_D;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_OF_D;2_SIM_SH;;;;;;;55;S1;S11;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:30.5;210546;8323;ESP;FEM;ZD;ANFR;2PER;CENT;Empate;NO;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_DEF_I;3_PAR_SR;;;;;55;S1;S11;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
