TSegundos;TMilisegundos;DuraciónMiliseg;ARMA;GÉNERO;MANO;PUÑO;PERÍODO; PISTA;MARCADOR;EFICACIA;Preparación;PRESIÓN;ACCIÓN 1;TIPO 1;ACCIÓN 2;TIPO 2;ACCIÓN 3;TIPO 3;ACCIÓN 4;TIPO 4;ACCIÓN n;TIPO n;Asalto;Tirador_I;Tirador_D;CAMPEONATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:49.0;228972;8152;ESP;FEM;ZZ;2ANA;1PER;3M_I;Gana_I;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:57.1;237124;7588;ESP;FEM;ZZ;2ANA;1PER;2M_I;Gana_I;Toca_I;Prep_D;PRES_D;1_DEF_I;1_PAR_R;2_COF_D;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:28.7;328667;5631;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:34.3;334298;7523;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;Toca_D;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;4_COF_D;4_SIM_SH;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:47.2;347224;6290;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;Doble;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_DIST_R;3_DEF_I;3_PAR_SR;4_COF_D;4_SIM_SH;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:57.4;357370;7887;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;NO;Prep_I;NPRES;1_DEF_D;1_PAR_R;2_DEF_I;2_PAR_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:23.7;383698;9981;ESP;FEM;ZZ;2ANA;2PER;2M_I;Gana_I;Toca_D;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:40.9;400880;5095;ESP;FEM;ZZ;2ANA;2PER;CENT;Empate;NO;Prep_I;NPRES;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:46.0;405975;8487;ESP;FEM;ZZ;2ANA;2PER;CENT;Empate;Toca_I;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:05.7;425650;5734;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:11.4;431384;24632;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;Toca_D;Prep_I;PRES_D;1_OF_D;1_SIM_H;2_DEF_I;2_PAR_SR;3_COF_D;3_SIM_SH;4_COF_D;4_SIM_SH;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:39.9;459916;7711;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;Toca_I;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:53.0;473006;4567;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:57.6;477573;6835;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;NO;Prep_I;PRES_D;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_DEF_I;3_PAR_R;4_COF_D;4_SIM_SH;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:04.4;484408;7663;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;Toca_D;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:22.0;502028;7522;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;Toca_I;Prep_D;NPRES;1_OF_I;1_SIM_H;2_DEF_D;2_PAR_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:37.5;517541;3989;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;4_DEF_I;4_DIST_SR;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:41.5;521530;7660;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;Toca_I;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:53.3;533299;7039;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;NO;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_DIST_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
