TSegundos;TMilisegundos;DuraciónMiliseg;ARMA;GÉNERO;MANO;PUÑO;PERÍODO; PISTA;MARCADOR;EFICACIA;Preparación;PRESIÓN;ACCIÓN 1;TIPO 1;ACCIÓN 2;TIPO 2;ACCIÓN 3;TIPO 3;ACCIÓN 4;TIPO 4;ACCIÓN n;TIPO n;Asalto;Tirador_I;Tirador_D;CAMPEONATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:04.3;64278;2269;ESP;FEM;ZZ;2ANA;1PER;CENT;Empate;NO;NoPrep;PRES_D;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_R;3_DEF_I;3_PAR_SR;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:06.5;66547;4792;ESP;FEM;ZZ;2ANA;1PER;3M_I;Empate;Toca_D;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_DEF_D;3_DIST_SR;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:11.3;71339;20910;ESP;FEM;ZZ;2ANA;1PER;3M_I;Empate;Toca_D;Prep_I;PRES_D;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;3_COF_D;3_SIM_SH;4_COF_I;4_SIM_SH;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:44.5;104529;10960;ESP;FEM;ZZ;2ANA;1PER;CENT;Pierde_I;NO;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_DEF_I;3_DIST_SR;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:55.5;115489;5947;ESP;FEM;ZZ;2ANA;1PER;CENT;Pierde_I;Toca_I;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:08.3;128346;6393;ESP;FEM;ZZ;2ANA;1PER;CENT;Empate;Toca_D;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:28.2;148178;5271;ESP;FEM;ZZ;2ANA;1PER;CENT;Pierde_I;NO;Prep_I;PRES_I;1_OF_D;1_SIM_SH;2_DEF_D;2_PAR_R;3_DEF_I;3_DIST_R;4_COF_D;4_SIM_SH;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:33.4;153449;4406;ESP;FEM;ZZ;2ANA;1PER;CENT;Pierde_I;NO;Prep_I;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_DEF_D;3_DIST_R;4_DEF_I;4_DIST_SR;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:37.9;157855;10131;ESP;FEM;ZZ;2ANA;1PER;CENT;Pierde_I;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;3_DEF_D;3_DIST_SR;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:48.0;167986;7613;ESP;FEM;ZZ;2ANA;1PER;CENT;Pierde_I;Toca_D;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_COF_I;3_SIM_SH;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:05.3;185325;9587;ESP;FEM;ZZ;2ANA;1PER;CENT;Pierde_I;Toca_D;Prep_I;PRES_I;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:23.6;203649;11481;ESP;FEM;ZZ;2ANA;1PER;CENT;Pierde_I;NO;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_DEF_I;3_DIST_SR;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:35.1;215130;8432;ESP;FEM;ZZ;2ANA;1PER;3M_D;Pierde_I;NO;Prep_D;PRES_I;1_OF_I;1_COM_SH;2_DEF_D;2_PAR_R;3_COF_I;3_SIM_SH;4_COF_D;4_SIM_SH;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:43.6;223562;3531;ESP;FEM;ZZ;2ANA;1PER;3M_D;Pierde_I;NO;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_OF_D;2_SIM_SH;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:47.1;227093;8160;ESP;FEM;ZZ;2ANA;1PER;3M_D;Pierde_I;Doble;Prep_I;PRES_I;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:01.0;241050;7172;ESP;FEM;ZZ;2ANA;1PER;CENT;Pierde_I;NO;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:08.2;248222;6310;ESP;FEM;ZZ;2ANA;1PER;CENT;Pierde_I;Toca_I;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_R;3_COF_I;3_SIM_SH;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:27.2;267232;8906;ESP;FEM;ZZ;2ANA;1PER;CENT;Pierde_I;Toca_I;Prep_I;NPRES;1_DEF_D;1_PAR_R;2_COF_I;2_SIM_SH;3_DEF_D;3_PAR_R;4_COF_I;4_SIM_SH;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:42.9;282857;7734;ESP;FEM;ZZ;2ANA;1PER;3M_I;Pierde_I;Doble;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:48.5;408491;10008;ESP;FEM;ZZ;2ANA;2PER;CENT;Pierde_I;Toca_I;Prep_I;NPRES;1_DEF_D;1_PAR_R;2_COF_I;2_SIM_SH;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:10.9;430929;11098;ESP;FEM;ZZ;2ANA;2PER;3M_I;Empate;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:22.0;442027;12002;ESP;FEM;ZZ;2ANA;2PER;3M_I;Empate;Toca_I;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:46.1;466099;9134;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07:55.2;475233;10969;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;3_COF_D;3_DIST_SR;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:06.2;486202;6290;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;NO;Prep_I;NPRES;1_DEF_D;1_PAR_R;2_DEF_I;2_PAR_R;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:12.5;492492;11605;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;Doble;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:43.4;523401;11003;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;Toca_I;Prep_I;PRES_D;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_R;3_COF_I;3_SIM_SH;4_COF_D;4_SIM_SH;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:02.5;542490;8177;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;Toca_I;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_H;3_COF_D;3_SIM_SH;;;;;47;S1;S3;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
