TSegundos;TMilisegundos;DuraciónMiliseg;ARMA;GÉNERO;MANO;PUÑO;PERÍODO; PISTA;MARCADOR;EFICACIA;Preparación;PRESIÓN;ACCIÓN 1;TIPO 1;ACCIÓN 2;TIPO 2;ACCIÓN 3;TIPO 3;ACCIÓN 4;TIPO 4;ACCIÓN n;TIPO n;Asalto;Tirador_I;Tirador_D;CAMPEONATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:06.9;66926;5343;ESP;FEM;DD;2ANA;1PER;CENT;Empate;NO;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_OF_D;2_SIM_SH;3_COF_I;3_SIM_SH;4_COF_D;4_SIM_SH;;;51;S1;S7;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:12.3;72269;19770;ESP;FEM;DD;2ANA;1PER;CENT;Empate;NO;Prep_I;PRES_D;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_COF_D;3_SIM_SH;4_COF_I;4_SIM_SH;;;51;S1;S7;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:32.0;92039;3587;ESP;FEM;DD;2ANA;1PER;3M_I;Empate;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;51;S1;S7;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:35.6;95626;2240;ESP;FEM;DD;2ANA;1PER;3M_I;Empate;NO;NoPrep;PRES_D;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_COF_I;3_SIM_SH;;;;;51;S1;S7;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:37.9;97866;3812;ESP;FEM;DD;2ANA;1PER;2M_I;Empate;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;3_COF_D;3_SIM_SH;4_DEF_I;4_PAR_R;;;51;S1;S7;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:41.7;101678;10888;ESP;FEM;DD;2ANA;1PER;3M_I;Empate;NO;NoPrep;NPRES;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;51;S1;S7;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:09.3;129268;10901;ESP;FEM;DD;2ANA;1PER;CENT;Pierde_I;NO;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_COF_I;3_SIM_SH;4_COF_D;4_SIM_SH;;;51;S1;S7;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:36.4;156414;1228;ESP;FEM;DD;2ANA;1PER;3M_I;Pierde_I;NO;NoPrep;PRES_D;1_OF_I;1_SIM_SH;2_OF_D;2_SIM_SH;3_DEF_I;3_DIST_SR;4_DEF_D;4_DIST_SR;;;51;S1;S7;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:37.6;157642;7960;ESP;FEM;DD;2ANA;1PER;CENT;Pierde_I;Doble;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_OF_D;2_SIM_SH;;;;;;;51;S1;S7;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:47.4;167428;3847;ESP;FEM;DD;2ANA;1PER;CENT;Pierde_I;NO;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;51;S1;S7;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
