TSegundos;TMilisegundos;DuraciónMiliseg;ARMA;GÉNERO;MANO;PUÑO;PERÍODO; PISTA;MARCADOR;EFICACIA;Preparación;PRESIÓN;ACCIÓN 1;TIPO 1;ACCIÓN 2;TIPO 2;ACCIÓN 3;TIPO 3;ACCIÓN 4;TIPO 4;ACCIÓN n;TIPO n;Asalto;Tirador_I;Tirador_D;CAMPEONATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:50.3;110289;14317;ESP;FEM;ZZ;FRAN;1PER;CENT;Empate;NO;Prep_I;PRES_I;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:04.6;124606;1863;ESP;FEM;ZZ;FRAN;1PER;3M_D;Empate;NO;Prep_D;PRES_I;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_R;3_COF_I;3_SIM_SH;4_DEF_D;4_DIST_SR;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:06.5;126469;2523;ESP;FEM;ZZ;FRAN;1PER;3M_D;Empate;NO;Prep_D;PRES_I;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:09.0;128992;7758;ESP;FEM;ZZ;FRAN;1PER;3M_D;Empate;Doble;Prep_D;NPRES;1_OF_I;1_SIM_H;2_COF_D;2_SIM_SH;3_COF_I;3_SIM_SH;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:44.9;164864;8315;ESP;FEM;ZZ;FRAN;1PER;3M_D;Empate;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_DEF_D;3_PAR_R;4_DEF_I;4_DIST_R;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:53.2;173179;8291;ESP;FEM;ZZ;FRAN;1PER;3M_D;Empate;NO;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:01.5;181470;1589;ESP;FEM;ZZ;FRAN;1PER;2M_D;Empate;NO;Prep_D;PRES_I;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:03.1;183059;8068;ESP;FEM;ZZ;FRAN;1PER;3M_D;Empate;Doble;NoPrep;PRES_I;1_OF_I;1_SIM_SH;2_OF_D;2_SIM_SH;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:16.8;196776;6696;ESP;FEM;ZZ;FRAN;1PER;CENT;Empate;NO;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:23.5;203472;36403;ESP;FEM;ZZ;FRAN;1PER;CENT;Empate;NO;Prep_I;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:59.9;239875;10989;ESP;FEM;ZZ;FRAN;1PER;3M_D;Empate;Toca_D;Prep_D;PRES_I;1_OF_D;1_COM_SH;2_COF_I;2_SIM_SH;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:17.3;257258;13550;ESP;FEM;ZZ;FRAN;1PER;CENT;Pierde_I;NO;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_DIST_SR;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30.8;270808;4716;ESP;FEM;ZZ;FRAN;1PER;3M_D;Pierde_I;NO;Prep_D;PRES_I;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:04.5;364535;7820;ESP;FEM;ZZ;FRAN;2PER;CENT;Pierde_I;NO;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:12.4;372355;1553;ESP;FEM;ZZ;FRAN;2PER;CENT;Pierde_I;NO;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_R;3_DEF_I;3_PAR_SR;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:13.9;373908;9405;ESP;FEM;ZZ;FRAN;2PER;CENT;Pierde_I;NO;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_DIST_SR;;;;;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:23.3;383313;9823;ESP;FEM;ZZ;FRAN;2PER;3M_D;Pierde_I;NO;Prep_D;NPRES;1_OF_I;1_COM_SH;2_DEF_D;2_PAR_R;3_COF_I;3_SIM_SH;4_DEF_D;4_PAR_R;;;48;S1;S4;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
