TSegundos;TMilisegundos;DuraciónMiliseg;ARMA;GÉNERO;MANO;PUÑO;PERÍODO; PISTA;MARCADOR;EFICACIA;Preparación;PRESIÓN;ACCIÓN 1;TIPO 1;ACCIÓN 2;TIPO 2;ACCIÓN 3;TIPO 3;ACCIÓN 4;TIPO 4;ACCIÓN n;TIPO n;Asalto;Tirador_I;Tirador_D;CAMPEONATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:47.6;47554;7635;ESP;FEM;ZD;2ANA;1PER;3M_D;Empate;NO;NoPrep;PRES_I;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;3_COF_D;3_SIM_SH;4_DEF_I;4_PAR_R;;;52;S1;S8;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:55.2;55189;2754;ESP;FEM;ZD;2ANA;1PER;3M_D;Empate;NO;Prep_I;PRES_I;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;52;S1;S8;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:57.9;57943;907;ESP;FEM;ZD;2ANA;1PER;3M_D;Empate;NO;Prep_I;PRES_I;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;52;S1;S8;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:58.8;58850;3834;ESP;FEM;ZD;2ANA;1PER;2M_D;Empate;NO;Prep_I;PRES_I;1_OF_I;1_SIM_SH;2_DEF_D;2_DIST_SR;;;;;;;52;S1;S8;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:02.7;62684;12572;ESP;FEM;ZD;2ANA;1PER;2M_D;Empate;Toca_I;Prep_I;PRES_I;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;52;S1;S8;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:19.5;79452;5352;ESP;FEM;ZD;2ANA;1PER;CENT;Gana_I;Toca_D;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_COF_I;3_SIM_SH;;;;;52;S1;S8;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:36.0;95974;6678;ESP;FEM;ZD;2ANA;1PER;CENT;Empate;Toca_I;Prep_I;PRES_I;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;;;;;;;52;S1;S8;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:48.0;108020;21172;ESP;FEM;ZD;2ANA;1PER;CENT;Gana_I;NO;NoPrep;NPRES;1_OF_D;1_SIM_SH;2_OF_I;2_SIM_SH;3_DEF_D;3_PAR_R;4_DEF_I;4_PAR_SR;;;52;S1;S8;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:09.2;129192;3385;ESP;FEM;ZD;2ANA;1PER;3M_D;Gana_I;NO;Prep_I;PRES_I;1_DEF_D;1_PAR_R;2_COF_I;2_SIM_SH;3_DEF_D;3_PAR_SR;;;;;52;S1;S8;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:12.6;132577;4723;ESP;FEM;ZD;2ANA;1PER;3M_D;Gana_I;NO;NoPrep;PRES_I;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;52;S1;S8;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
