TSegundos;TMilisegundos;DuraciónMiliseg;ARMA;GÉNERO;MANO;PUÑO;PERÍODO; PISTA;MARCADOR;EFICACIA;Preparación;PRESIÓN;ACCIÓN 1;TIPO 1;ACCIÓN 2;TIPO 2;ACCIÓN 3;TIPO 3;ACCIÓN 4;TIPO 4;ACCIÓN n;TIPO n;Asalto;Tirador_I;Tirador_D;CAMPEONATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:00.6;60621;19395;ESP;FEM;DD;FRAN;1PER;3M_I;Empate;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_R;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:45.4;105377;1389;ESP;FEM;DD;FRAN;2PER;CENT;Empate;NO;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_DIST_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:46.8;106766;20774;ESP;FEM;DD;FRAN;2PER;CENT;Empate;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:07.5;127540;58280;ESP;FEM;DD;FRAN;2PER;3M_I;Empate;NO;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_R;3_COF_I;3_SIM_SH;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:12.5;192492;4461;ESP;FEM;DD;FRAN;2PER;3M_I;Empate;NO;Prep_I;PRES_I;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:17.0;196953;9672;ESP;FEM;DD;FRAN;2PER;2M_I;Empate;Toca_I;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:41.1;221080;22024;ESP;FEM;DD;FRAN;2PER;3M_I;Gana_I;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:03.1;243104;9867;ESP;FEM;DD;FRAN;2PER;3M_I;Gana_I;Toca_D;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:24.9;264866;8335;ESP;FEM;DD;FRAN;2PER;2M_I;Empate;Toca_D;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:38.9;278948;4039;ESP;FEM;DD;FRAN;2PER;CENT;Pierde_I;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:43.0;282987;7023;ESP;FEM;DD;FRAN;2PER;CENT;Pierde_I;Toca_I;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_OF_D;2_SIM_SH;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:58.0;297959;8898;ESP;FEM;DD;FRAN;2PER;3M_I;Empate;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:06.9;306857;11396;ESP;FEM;DD;FRAN;2PER;3M_I;Empate;Toca_I;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_OF_D;2_SIM_SH;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:48.4;348385;8249;ESP;FEM;DD;FRAN;2PER;3M_I;Gana_I;Toca_D;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:02.8;482781;5112;ESP;FEM;DD;FRAN;3PER;3M_I;Empate;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_R;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:07.9;487893;1126;ESP;FEM;DD;FRAN;3PER;2M_I;Empate;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:09.0;489019;4174;ESP;FEM;DD;FRAN;3PER;2M_I;Empate;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:13.2;493193;642;ESP;FEM;DD;FRAN;3PER;2M_I;Empate;NO;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_R;3_DEF_I;3_PAR_SR;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:13.8;493835;2892;ESP;FEM;DD;FRAN;3PER;2M_I;Empate;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:16.7;496727;11818;ESP;FEM;DD;FRAN;3PER;2M_I;Empate;Toca_D;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_R;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:40.7;520717;7432;ESP;FEM;DD;FRAN;3PER;3M_I;Pierde_I;Toca_D;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08:55.3;535312;13792;ESP;FEM;DD;FRAN;3PER;CENT;Pierde_I;NO;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:09.1;549104;889;ESP;FEM;DD;FRAN;3PER;CENT;Pierde_I;NO;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:10.0;549993;11133;ESP;FEM;DD;FRAN;3PER;CENT;Pierde_I;NO;NoPrep;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:21.1;561126;9581;ESP;FEM;DD;FRAN;3PER;CENT;Pierde_I;Doble;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_OF_D;2_SIM_SH;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:37.1;577141;6971;ESP;FEM;DD;FRAN;3PER;CENT;Pierde_I;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:44.1;584112;9211;ESP;FEM;DD;FRAN;3PER;CENT;Pierde_I;NO;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:53.3;593323;1235;ESP;FEM;DD;FRAN;3PER;CENT;Pierde_I;NO;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:54.6;594558;8302;ESP;FEM;DD;FRAN;3PER;3M_D;Pierde_I;Toca_D;Prep_I;PRES_I;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10:10.0;609994;1470;ESP;FEM;DD;FRAN;3PER;CENT;Pierde_I;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;4_COF_I;4_SIM_SH;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10:11.5;611464;13171;ESP;FEM;DD;FRAN;3PER;CENT;Pierde_I;Toca_D;Prep_I;PRES_I;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_DEF_D;3_DIST_R;4_COF_I;4_SIM_SH;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10:35.8;635840;1736;ESP;FEM;DD;FRAN;3PER;3M_D;Pierde_I;NO;Prep_D;PRES_I;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10:37.6;637576;977;ESP;FEM;DD;FRAN;3PER;3M_D;Pierde_I;NO;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10:38.6;638553;1793;ESP;FEM;DD;FRAN;3PER;3M_D;Pierde_I;NO;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10:40.3;640346;7426;ESP;FEM;DD;FRAN;3PER;3M_D;Pierde_I;NO;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;53;S1;S9;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
